man,manLabel
http://www.wikidata.org/entity/Q72855,Walther Amelung
http://www.wikidata.org/entity/Q72857,Alexander Conze
http://www.wikidata.org/entity/Q72860,Gustav Hirschfeld
http://www.wikidata.org/entity/Q72862,Andreas Furtwängler
http://www.wikidata.org/entity/Q72884,Karl Dilthey
http://www.wikidata.org/entity/Q72950,Heinrich Gustav Hotho
http://www.wikidata.org/entity/Q73347,Johann David Passavant
http://www.wikidata.org/entity/Q74128,Alfred Flechtheim
http://www.wikidata.org/entity/Q74197,Otto Benndorf
http://www.wikidata.org/entity/Q91124,Lorenz Beger
http://www.wikidata.org/entity/Q91757,Wilhelm Fraenger
http://www.wikidata.org/entity/Q91831,Oscar Bie
http://www.wikidata.org/entity/Q91837,Georg Hirth
http://www.wikidata.org/entity/Q91848,Gottfried Boehm
http://www.wikidata.org/entity/Q91993,Friedrich Wieseler
http://www.wikidata.org/entity/Q91995,Antal Hekler
http://www.wikidata.org/entity/Q92104,Franz Servaes
http://www.wikidata.org/entity/Q92208,Franz Xaver Kraus
http://www.wikidata.org/entity/Q92402,Ernst Badstübner
http://www.wikidata.org/entity/Q93890,Kajetan Mühlmann
http://www.wikidata.org/entity/Q94341,Franz Eppel
http://www.wikidata.org/entity/Q94720,Franz Studniczka
http://www.wikidata.org/entity/Q94729,Wilhelm Klein
http://www.wikidata.org/entity/Q95208,Arthur Milchhöfer
http://www.wikidata.org/entity/Q95240,Q95240
http://www.wikidata.org/entity/Q95347,Franz von Reber
http://www.wikidata.org/entity/Q95362,Franz Dülberg
http://www.wikidata.org/entity/Q95436,Herbert Ricke
http://www.wikidata.org/entity/Q95706,Christian Joseph Jagemann
http://www.wikidata.org/entity/Q95756,Max Jordan
http://www.wikidata.org/entity/Q95936,Nicolaus Schafhausen
http://www.wikidata.org/entity/Q95937,Q95937
http://www.wikidata.org/entity/Q96122,Hans Vollmer
http://www.wikidata.org/entity/Q96309,Arthur Haseloff
http://www.wikidata.org/entity/Q96575,Aloys Ludwig Hirt
http://www.wikidata.org/entity/Q96716,Heinrich Bulle
http://www.wikidata.org/entity/Q97068,Friedrich Christoph Förster
http://www.wikidata.org/entity/Q97144,Q97144
http://www.wikidata.org/entity/Q97225,Otto Wilhelm von Vacano
http://www.wikidata.org/entity/Q97401,Otto Puchstein
http://www.wikidata.org/entity/Q97409,Max Sauerlandt
http://www.wikidata.org/entity/Q97425,Emil Braun
http://www.wikidata.org/entity/Q97431,Eugen Petersen
http://www.wikidata.org/entity/Q97432,Johann Philipp Siebenkees
http://www.wikidata.org/entity/Q97433,Friedrich von Duhn
http://www.wikidata.org/entity/Q97541,Friedrich Hiller von Gaertringen
http://www.wikidata.org/entity/Q97772,Ferdinand Dümmler
http://www.wikidata.org/entity/Q97950,Georg Treu
http://www.wikidata.org/entity/Q98050,Heinrich Schäfer
http://www.wikidata.org/entity/Q98157,Wolfgang von Oettingen
http://www.wikidata.org/entity/Q98169,Albrecht Haupt
http://www.wikidata.org/entity/Q98171,Heinrich Wagner
http://www.wikidata.org/entity/Q98283,Paul Westheim
http://www.wikidata.org/entity/Q98301,Wilhelm Herzog
http://www.wikidata.org/entity/Q98426,Justus Brinckmann
http://www.wikidata.org/entity/Q98630,Johann Amadeus Wendt
http://www.wikidata.org/entity/Q98641,Georg Lippold
http://www.wikidata.org/entity/Q98680,Karl Friederichs
http://www.wikidata.org/entity/Q98779,Will Grohmann
http://www.wikidata.org/entity/Q98837,Kurt Gerstenberg
http://www.wikidata.org/entity/Q98983,Fedja Anzelewski
http://www.wikidata.org/entity/Q99316,Helmuth Theodor Bossert
http://www.wikidata.org/entity/Q99439,Q99439
http://www.wikidata.org/entity/Q99474,Kurt Bauch
http://www.wikidata.org/entity/Q99560,Jakob Heinrich von Hefner-Alteneck
http://www.wikidata.org/entity/Q100279,Johannes Boehlau
http://www.wikidata.org/entity/Q100328,Volker Michael Strocka
http://www.wikidata.org/entity/Q100487,Theodor Schreiber
http://www.wikidata.org/entity/Q100511,Willibald Sauerländer
http://www.wikidata.org/entity/Q100531,Habbo Gerhard Lolling
http://www.wikidata.org/entity/Q100532,Richard Schöne
http://www.wikidata.org/entity/Q100533,Hans Schrader
