woman,womanLabel
http://www.wikidata.org/entity/Q434431,Q434431
http://www.wikidata.org/entity/Q434478,Linda Nochlin
http://www.wikidata.org/entity/Q435988,Brunilde Sismondo Ridgway
http://www.wikidata.org/entity/Q440493,Paola Antonelli
http://www.wikidata.org/entity/Q440887,Laura Mulvey
http://www.wikidata.org/entity/Q449499,Svetlana Alpers
http://www.wikidata.org/entity/Q452606,Irina Antonova
http://www.wikidata.org/entity/Q453538,Carolyn Christov-Bakargiev
http://www.wikidata.org/entity/Q458734,Coosje van Bruggen
http://www.wikidata.org/entity/Q460906,Madeleine Colani
http://www.wikidata.org/entity/Q461611,Amelia Sarah Levetus
http://www.wikidata.org/entity/Q465292,Sister Wendy Beckett
http://www.wikidata.org/entity/Q468466,Karolina Lanckorońska
http://www.wikidata.org/entity/Q470147,Anna Banti
http://www.wikidata.org/entity/Q470163,Q470163
http://www.wikidata.org/entity/Q481936,Amy Richards
http://www.wikidata.org/entity/Q494867,Andrea Pufke
http://www.wikidata.org/entity/Q508672,Henriette Caillaux
http://www.wikidata.org/entity/Q513142,Elizabeth Eastlake
http://www.wikidata.org/entity/Q517452,Tania Velmans
http://www.wikidata.org/entity/Q519129,Eugénie Strong
http://www.wikidata.org/entity/Q519258,Harriet Boyd-Hawes
http://www.wikidata.org/entity/Q520359,Mabel Lang
http://www.wikidata.org/entity/Q526185,Valerie Steele
http://www.wikidata.org/entity/Q528452,Jacqueline Lichtenstein
http://www.wikidata.org/entity/Q532161,Beatriz de la Fuente
http://www.wikidata.org/entity/Q532951,Ludmilla Jordanova
http://www.wikidata.org/entity/Q533978,Angelica Bäumer
http://www.wikidata.org/entity/Q534621,Angelika Taschen
http://www.wikidata.org/entity/Q535455,Q535455
http://www.wikidata.org/entity/Q538113,Emeline Hill Richardson
http://www.wikidata.org/entity/Q540962,Esther Pasztory
http://www.wikidata.org/entity/Q543508,Catherine David
http://www.wikidata.org/entity/Q547004,Caroline Bos
http://www.wikidata.org/entity/Q549436,Q549436
http://www.wikidata.org/entity/Q566138,Anneliese Bulling
http://www.wikidata.org/entity/Q566516,Annette Ahrens
http://www.wikidata.org/entity/Q566583,Annette Haug
http://www.wikidata.org/entity/Q584784,Antje Krug
http://www.wikidata.org/entity/Q584817,Antje Middeldorf Kosegarten
http://www.wikidata.org/entity/Q598815,Alma Reed
http://www.wikidata.org/entity/Q1276984,Petra Olschowski
http://www.wikidata.org/entity/Q1280327,Katharina Schmidt
http://www.wikidata.org/entity/Q1283169,Ulrike Heinrichs
http://www.wikidata.org/entity/Q1285011,Edith Hall Dohan
http://www.wikidata.org/entity/Q1292572,Q1292572
http://www.wikidata.org/entity/Q1295520,Q1295520
http://www.wikidata.org/entity/Q1297774,Juliane von Fircks
http://www.wikidata.org/entity/Q1303564,Stephanie Böhm
http://www.wikidata.org/entity/Q1307310,Jocelyn Toynbee
http://www.wikidata.org/entity/Q1318494,Eva Berger
http://www.wikidata.org/entity/Q1325195,Q1325195
http://www.wikidata.org/entity/Q1325746,Eleanor von Erdberg
http://www.wikidata.org/entity/Q1327890,Elena Mango
http://www.wikidata.org/entity/Q1327924,Elena Walter-Karydi
http://www.wikidata.org/entity/Q1328598,Elfriede Brümmer
http://www.wikidata.org/entity/Q1330049,Elisabeth Kieven
http://www.wikidata.org/entity/Q1330334,Elisabeth Vavra
http://www.wikidata.org/entity/Q1330507,Elisabeth von Witzleben
http://www.wikidata.org/entity/Q1331429,Q1331429
http://www.wikidata.org/entity/Q1331470,Elke Böhr
http://www.wikidata.org/entity/Q1331517,Elke Krasny
http://www.wikidata.org/entity/Q1331602,Elke von Radziewsky
http://www.wikidata.org/entity/Q1331820,Ellen Handler Spitz
http://www.wikidata.org/entity/Q1331888,Ellen Weski
http://www.wikidata.org/entity/Q1333972,Elsy Leuzinger
http://www.wikidata.org/entity/Q1337326,Emilie Haspels
