woman,womanLabel,citizenships
http://www.wikidata.org/entity/Q16374077,Parmen Zakaraia,Georgia/Unione Sovietica/Impero russo/Repubblica Democratica di Georgia
http://www.wikidata.org/entity/Q19661224,P. R. Srinivasan,India/Impero anglo-indiano/Dominion dell'India
http://www.wikidata.org/entity/Q19661661,M. N. Deshpande,India/Impero anglo-indiano/Dominion dell'India
http://www.wikidata.org/entity/Q19753761,Alice Mühsam,Stati Uniti d'America/Austria/Germania
http://www.wikidata.org/entity/Q3054716,Enriqueta Harris,Spagna/Regno Unito/Regno Unito di Gran Bretagna e Irlanda
http://www.wikidata.org/entity/Q3082774,Frank Popper,Francia/Repubblica Ceca/britannici
http://www.wikidata.org/entity/Q12629425,Cvito Fisković,Croazia/Impero austro-ungarico/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia
http://www.wikidata.org/entity/Q12786800,Cene Avguštin,Slovenia/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia
http://www.wikidata.org/entity/Q12788379,Emilijan Cevc,Slovenia/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia
http://www.wikidata.org/entity/Q21542219,Jakob Soklič,Impero austro-ungarico/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia
http://www.wikidata.org/entity/Q21548442,Viktor Steska,"Impero austro-ungarico/Regno di Jugoslavia/Regno dei Serbi, Croati e Sloveni"
http://www.wikidata.org/entity/Q21598196,Priyambada Mohanty Hejmadi,India/Impero anglo-indiano/Dominion dell'India
http://www.wikidata.org/entity/Q19893115,Mukund Lath,India/Impero anglo-indiano/Dominion dell'India
http://www.wikidata.org/entity/Q19895400,Pratapaditya Pal,India/Impero anglo-indiano/Dominion dell'India
http://www.wikidata.org/entity/Q19908865,Viktorina Petrosyants,Stati Uniti d'America/Russia/Unione Sovietica
http://www.wikidata.org/entity/Q19934176,Mirko Juteršek,Slovenia/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia
http://www.wikidata.org/entity/Q12792683,Josip Dostal,Impero austro-ungarico/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia
http://www.wikidata.org/entity/Q12795776,Marijan Marolt,"Argentina/Impero austro-ungarico/Regno di Jugoslavia/Regno dei Serbi, Croati e Sloveni"
http://www.wikidata.org/entity/Q12795783,Marijan Zadnikar,Slovenia/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia
http://www.wikidata.org/entity/Q12795872,Marjan Tršar,Slovenia/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia
http://www.wikidata.org/entity/Q12799818,Rafko Vodeb,Slovenia/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia
http://www.wikidata.org/entity/Q12800388,Roman Tominec,"Impero austro-ungarico/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia/Regno dei Serbi, Croati e Sloveni"
http://www.wikidata.org/entity/Q12807298,Špelca Čopič,Slovenia/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia
http://www.wikidata.org/entity/Q22247001,Boris Ternovets,Unione Sovietica/Impero russo/Russia sovietica
http://www.wikidata.org/entity/Q72139,Helmut Gernsheim,Regno Unito/Germania/Regno Unito di Gran Bretagna e Irlanda
http://www.wikidata.org/entity/Q74197,Otto Benndorf,Germania/Impero austro-ungarico/Impero austriaco
http://www.wikidata.org/entity/Q21244972,Brijinder Goswamy,India/Impero anglo-indiano/Dominion dell'India
http://www.wikidata.org/entity/Q25627330,Sharada Dwivedi,India/Impero anglo-indiano/Dominion dell'India
http://www.wikidata.org/entity/Q25906319,France Mesesnel,Impero austro-ungarico/Regno d'Italia/Regno di Jugoslavia
http://www.wikidata.org/entity/Q26768710,A. A. Guber,Unione Sovietica/Impero russo/Russia sovietica
http://www.wikidata.org/entity/Q47452955,Roberts Pelše,Unione Sovietica/Impero russo/Russia sovietica
http://www.wikidata.org/entity/Q48094810,Asoke Kumar Bhattacharyya,India/Impero anglo-indiano/Dominion dell'India
